Comente,texto_final,sentimento_bert
Oi,nan,Neutral
@matheus.r_investimento oi como faço para inestir em fundos imobiliários?,matheusr investimento como faço para inestir fundos imobiliários,Neutral
As indicações da @kamilaassis2003 é top💭🍀,indicações kamilaassis2003 top,Neutral
As indicações da @kamilaassis2003 é top,indicações kamilaassis2003 top,Neutral
"Gosto muito do meu roxinho, porém só acho chato a parte dos tempo que libera crédito, demora muito pra dar créditos, estou sempre comprando e pagando na data certa.",gosto muito meu roxinho porém acho chato parte dos tempo que libera crédito demora muito pra dar créditos estou sempre comprando pagando data certa,Neutral
"@nubank praticidade, sabedoria, economia . 🟣⚪️",nubank praticidade sabedoria economia,Neutral
Banco lixo !!!!!! Ja tive dor de cabeça com esse banco e agora meu marido !!! Recebeu um pix num valor alto ( da sua própria conta) e simplesmente CANCELARAM a conta dele por ele ter recebido um pix num valor alto !!! Q banco e esse q o cliente nao pode ter valor alto na conta ??,banco lixo  tive dor cabeça com esse banco agora meu marido  recebeu pix num valor alto sua própria conta simplesmente cancelaram conta dele por ele ter recebido pix num valor alto  banco esse cliente nao pode ter valor alto conta,Neutral
"@luizadalolio e eu tive o mesmo problema, fiz e recebi pix em valores altos e cancelaram minha conta !!",luizadalolio tive mesmo problema fiz recebi pix valores altos cancelaram minha conta,Neutral
"@luizadalolio trava o dinheiro da gente , e temos que ter paciência pra esperar a boa vontade deles de transferir para outra conta da mesma titularidade",luizadalolio trava dinheiro gente temos que ter paciência pra esperar boa vontade deles transferir para outra conta mesma titularidade,Neutral
@nataliasoranzo e pq eles preferem cancelar contas sem motivo do q com motivo !! Ja tive 2 experiência horrível com esse banco,nataliasoranzo eles preferem cancelar contas sem motivo com motivo tive experiência horrível com esse banco,Neutral
@nubank clientes seus nao podem realizar e receber pix ou transferências de valores altos se nao vcs cancela a conta ??? E isso??,nubank clientes seus nao podem realizar receber pix transferências valores altos nao vcs cancela conta  isso,Neutral
💜💜💜💜💜,nan,Neutral
Devolva o meu dinheiro,devolva meu dinheiro,Neutral
"@nataliasoranzo eles vão pedir o vc ir atrás, pois não resolvem. Fiz um Pix errado. Era 25, na digitação saiu 250. Eu estava em outro estado, de férias. Eles nada fizeram",nataliasoranzo eles vão pedir atrás pois não resolvem fiz pix errado era 25 digitação saiu 250 estava outro estado férias eles nada fizeram,Neutral
A minha liberou hj! Melhor banco de todos 💜,minha liberou hj melhor banco todos,Neutral
Sempre paguei as faturas em dia e com antecedência e nunca consegui sair dos míseros 200 reais de limite. Abri uma conta corrente no @itau para guardar algumas economias na semana passada e já de início me deram 3.500 reais de limite no cartão Platinum Mastercard.  Bancos digitais são uma decepção! 😕,sempre paguei faturas dia com antecedência nunca consegui sair dos míseros 200 reais limite abri uma conta corrente itau para guardar algumas economias semana passada início deram 3500 reais limite cartão platinum mastercard bancos digitais são uma decepção,Neutral
"Aguardando uma resposta a altura para os cofrinhos do MP, que agora rende 112% do CDI, com limite de 10mil e na conta padrão 105%. OBS.: Para todos que movimentam. Não nos decepcione @nubank",aguardando uma resposta altura para cofrinhos mp que agora rende 112 cdi com limite 10mil conta padrão 105 obs para todos que movimentam não nos decepcione nubank,Neutral
"Não abram conta nesse banco!
Estou passando por um absurdo com a Nubank desde quarta-feira.
Minha filha, menor de idade, abriu a conta através do meu convite, com saldo em conta e cartão ativo. De repente, o aplicativo dela deslogou e não conseguimos mais acessar.
Ligamos inúmeras vezes para o atendimento, abrimos vários protocolos, informamos todos os dados corretamente e, mesmo assim, dizem que os dados estão errados e desligam na nossa cara.
Já mandaram fazer novo convite, como se ela não tivesse já a conta aberta! Isso é um descaso total.
Minha filha está fora de casa sem conseguir acessar o próprio dinheiro e a Nubank não resolve nada.
Péssimo suporte, falta de respeito e total despreparo. Decepcionante!
Pensem muito bem antes de confiar o seu dinheiro aqui.",não abram conta nesse banco estou passando por absurdo com nubank desde quartafeira minha filha menor idade abriu conta através meu convite com saldo conta cartão ativo repente aplicativo dela deslogou não conseguimos mais acessar ligamos inúmeras vezes para atendimento abrimos vários protocolos informamos todos dados corretamente mesmo assim dizem que dados estão errados desligam nossa cara mandaram fazer novo convite como ela não tivesse conta aberta isso descaso total minha filha está fora casa sem conseguir acessar próprio dinheiro nubank não resolve nada péssimo suporte falta respeito total despreparo decepcionante pensem muito bem antes confiar seu dinheiro aqui,Neutral
"@nubank Preocupados a equipe de vocês não resolvem nada, tudo isso já fiz.",nubank preocupados equipe vocês não resolvem nada tudo isso fiz,Neutral
"Mínimo R$50,00 só na Sivra 🤭",mínimo r5000 sivra,Neutral
"Se você quer um relacionamento duradouro e não se ilude com qualquer promessa…
Aqui na Nu, somos transparentes com relação ao seu dinheiro. Porque dinheiro não se brinca.
#SemLetraMiuda #RelacionamentoSério #NuBank",você quer relacionamento duradouro não ilude com qualquer promessa aqui nu somos transparentes com relação seu dinheiro porque dinheiro não brinca semletramiuda relacionamentosério nubank,Neutral
"@nubank é deveria dá crédito pras pessoas que já pagaram,faz 5 anos que paguei e nada?????",nubank deveria crédito pras pessoas que pagaramfaz anos que paguei nada,Neutral
Conseguiu resolver?,conseguiu resolver,Neutral
Essa caixinha é muito top 💜,essa caixinha muito top,Neutral
👏👏👏,nan,Neutral
quero meu dinheiro de volta. @nubank,quero meu dinheiro volta nubank,Neutral
"@nubank minha conta foi bloqueada faz três dias, e nada do meu estorno, quero meu dinheiro pois preciso pagar meu aluguel.. caso nao for resolvido, irei abrir uma reclamação no reclame aqui e um b.o",nubank minha conta foi bloqueada faz três dias nada meu estorno quero meu dinheiro pois preciso pagar meu aluguel caso nao for resolvido irei abrir uma reclamação reclame aqui bo,Neutral
I,nan,Neutral
Eu não  fico sem  camisa,não fico sem camisa,Neutral
